Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
6787124127,Habitat for Humanity of Minnesota,"Habitat For Humanity of Minnesota, Inc.",401,3
395657846969729,Anthony Jones For Community College District,Anthony Jones For San Bernardino Community College District Area 3,400,4
104446067582712,Jabbow 4 Mayor,Jabbow 4 Mayor,400,2
377504548773222,Shaina Smith for State Rep D41,Shaina Smith for State Rep D41,400,19
104309265617276,"Varisa Lall Dass, Democrat for Port of Palm Beach Group 2","Varisa Dass, Democrat for Port of Palm Beach, Group 5.",400,2
145330045785,The Advocates for Self-Government,The Advocates for Self-Government,400,13
117287861258697,Arnulfo De La Cruz,SEIU Local 2015 Long-Term Care Workers Health Trust,400,4
182153951796246,Alexandria Democratic Committee,The Alexandria Democratic Committee,400,6
19575923823,Farm Sanctuary,"Farm Sanctuary, Inc.",400,6
551328948361758,For Our Future WI,For Our Future Action Fund,400,1
405856826499790,Jeanné Kapela,Friends of Jeanné Kapela,400,1
402753480146646,Brodehl for Commissioner,Brodehl for Commissioner,400,2
334467219750851,John Mihajlov for Carver County,John for Carver County,400,4
361391160392322,Committee to Elect Dale Shugars for Treasurer,Committee to Elect Dale Shugars for Treasurer,400,2
107624798910583,Representative Carrie Rheingans,State Representative Carrie Rheingans,400,1
268485423008723,John Moffett for SC House,John Moffett for State House,400,5
334654434156235,Jeff LaRe,LaRe for Ohio,400,1
232321570123429,Arlington Dems,ARLINGTON COUNTY DEMOCRATIC COMMITTEE JOINT FEDERAL CAMPAIGN,400,3
101383904664358,Alex Dallman for State Assembly,Friends of Alex Dallman,400,2
21400489905,Venice Family Clinic,Venice Family Clinic,400,1
122825101076853,California Water Association,California Water Association,400,1
591975150932241,PBS Books,DETROIT EDUCATIONAL TELEVISION FOUNDATION,400,6
289831060876522,Cannabis Justice Coalition,Cannabis Justice Coalition Inc,400,8
373896462471069,Chip in Berkeley,Moore for District 3 2024 John Chip,399,1
111207645298202,Jon Herr for County Commission,Friends and Neighbors of Jon,399,2
363665536829978,Amber Cameron for ISD 194,Amber for 194,399,11
227803867078808,Kevin Copperi for Valley County Sheriff,Copperi For Valley County Sheriff,399,3
55765344300,Island Institute,ISLAND INSTITUTE,399,15
103703301318078,North Plainfield 2024 Republican Candidates,NPGOP Campaign 2024,399,6
431189303401790,Schuyler Weiss for East Greenwich School Committee,Campaign Fund of Schuyler Weiss,399,5
108398508728905,Beer and Breweries of PA,Voices of Health Care Action,399,18
356766264196378,Yes on Measure L - Invest in Mill Valley's Future,Yes on Measure L - Invest in Mill Valley's Future,399,1
284632591390838,Daniel Anthony for Ward 1,Daniel Anthony for Ward 1,399,6
127282113974039,Chris Muns for NH,Friends of Chris Muns,398,3
100291643104861,Brandon Long for State Representative,Brandon Long for Kentucky,398,8
412265465302876,Take 9,These ads ran without a disclaimer,398,1
114641328202340,LeadersUnite,LeadersUnite,398,12
1891481047829323,Adopt a Democrat,Adopt a Democrat,398,6
185300401335012,Steve Moree for NC House,Moree In The House,398,2
325956883923344,Jennifer 4 Jax Beach,Jennifer 4 Jax Beach,398,5
260012735885067,Rep. Jonathan Karlen,Jonathan Karlen for MT,398,3
619299994763800,District 5 of Lexington and Richland Counties,SCHOOL DISTRICT FIVE OF LEXINGTON & RICHLAND COUNTIES,398,2
201555579715880,Rita for MN House,Rita for MN House,398,11
332644123428745,League of Women Voters of Iowa,League of Women Voters of Iowa,397,3
340394979166967,Manor House Films,These ads ran without a disclaimer,397,1
246557428550820,Parents for Progress,Parents for Progress,397,2
107647202592570,AARP NH,AARP,397,7
114264124979695,Jones for Missouri,Citizens for Leslie Jones,397,5
85307645755,"The Promise - Glen Rose, TX","The Promise - Glen Rose, TX",396,1
378008055398516,Blue Lake Solar,"NEXTERA ENERGY RESOURCES, LLC",396,4
177236638814561,Currin For KY,Currin For KY,396,4
109363721288891,"Phillip Hawkins, Jr. for City Council","Phillip Hawkins, Jr. for City Council",396,3
309593799376270,Kirt Briggs,Kirt Briggs,396,10
110356433981364,American Hartford Gold,These ads ran without a disclaimer,396,1
106543007761948,Amy Green for Fayette County School Board,Campaign Fund of Amy Green,396,3
